title,initiative_url,feedback_url,feedback_count,topic,type_of_act,feedback_period,feedback_start,feedback_end,correct_feedback_url
Defending European democracy – CommunicationTopicJustice and fundamental rightsType of actCommunicationFeedback period16 February 2023 - 14 April 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13730-Defending-European-democracy-Communication_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13730-Defending-European-democracy-Communication/feedback,1209,Justice and fundamental rights,Communication,16 February 2023 - 14 April 2023,2023-02-16,2023-04-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13730-Defending-European-democracy-Communication/feedback_en?p_id=16754
Recommendation on civic engagementTopicJustice and fundamental rightsType of actRecommendationFeedback period16 February 2023 - 14 April 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13748-Recommendation-on-civic-engagement_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13748-Recommendation-on-civic-engagement/feedback,1209,Justice and fundamental rights,Recommendation,16 February 2023 - 14 April 2023,2023-02-16,2023-04-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13748-Recommendation-on-civic-engagement/feedback_en?p_id=16754
Recommendation on covert interference from third countriesTopicHome affairsType of actRecommendationFeedback period16 February 2023 - 14 April 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13742-Recommendation-on-covert-interference-from-third-countries_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13742-Recommendation-on-covert-interference-from-third-countries/feedback,1209,Home affairs,Recommendation,16 February 2023 - 14 April 2023,2023-02-16,2023-04-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13742-Recommendation-on-covert-interference-from-third-countries/feedback_en?p_id=16754
Recommendation on resilient electoral processes and the 2024 elections to the European ParliamentTopicHome affairsType of actRecommendationFeedback period16 February 2023 - 14 April 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13726-Recommendation-on-resilient-electoral-processes-and-the-2024-elections-to-the-European-Parliament_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13726-Recommendation-on-resilient-electoral-processes-and-the-2024-elections-to-the-European-Parliament/feedback,1209,Home affairs,Recommendation,16 February 2023 - 14 April 2023,2023-02-16,2023-04-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13726-Recommendation-on-resilient-electoral-processes-and-the-2024-elections-to-the-European-Parliament/feedback_en?p_id=16754
Transparency of covert interference by third countriesTopicHome affairsType of actProposal for a regulationFeedback period16 February 2023 - 14 April 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13744-Transparency-of-covert-interference-by-third-countries_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13744-Transparency-of-covert-interference-by-third-countries/feedback,1209,Home affairs,Proposal for a regulation,16 February 2023 - 14 April 2023,2023-02-16,2023-04-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13744-Transparency-of-covert-interference-by-third-countries/feedback_en?p_id=16754
2030 Climate Target PlanTopicClimate actionType of actCommunicationFeedback period31 March 2020 - 23 June 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12265-2030-Climate-Target-Plan_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12265-2030-Climate-Target-Plan/feedback,1093,Climate action,Communication,31 March 2020 - 23 June 2020,2020-03-31,2020-06-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12265-2030-Climate-Target-Plan/feedback_en?p_id=12894
Animal welfare – animals kept for economic purposesTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13611-Animal-welfare-animals-kept-for-economic-purposes_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13611-Animal-welfare-animals-kept-for-economic-purposes/feedback,983,Food safety,Proposal for a regulation,15 October 2021 - 21 January 2022,2021-10-15,2022-01-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13611-Animal-welfare-animals-kept-for-economic-purposes/feedback_en?p_id=14774
Animal welfare – labelling for foodTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13610-Animal-welfare-labelling-for-food_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13610-Animal-welfare-labelling-for-food/feedback,983,Food safety,Proposal for a regulation,15 October 2021 - 21 January 2022,2021-10-15,2022-01-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13610-Animal-welfare-labelling-for-food/feedback_en?p_id=14774
Animal welfare – protection of animals at the time of killingTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13612-Animal-welfare-protection-of-animals-at-the-time-of-killing_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13612-Animal-welfare-protection-of-animals-at-the-time-of-killing/feedback,983,Food safety,Proposal for a regulation,15 October 2021 - 21 January 2022,2021-10-15,2022-01-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13612-Animal-welfare-protection-of-animals-at-the-time-of-killing/feedback_en?p_id=14774
Animal welfare – protection of animals during transportTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13613-Animal-welfare-protection-of-animals-during-transport_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13613-Animal-welfare-protection-of-animals-during-transport/feedback,983,Food safety,Proposal for a regulation,15 October 2021 - 21 January 2022,2021-10-15,2022-01-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13613-Animal-welfare-protection-of-animals-during-transport/feedback_en?p_id=14774
Animal welfare – revision of EU legislationTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12950-Animal-welfare-revision-of-EU-legislation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12950-Animal-welfare-revision-of-EU-legislation/feedback,983,Food safety,Proposal for a regulation,15 October 2021 - 21 January 2022,2021-10-15,2022-01-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12950-Animal-welfare-revision-of-EU-legislation/feedback_en?p_id=14774
Public procurement directives – evaluationTopicSingle marketType of actEvaluationFeedback period13 December 2024 - 07 March 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14427-Public-procurement-directives-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14427-Public-procurement-directives-evaluation/feedback,949,Single market,Evaluation,13 December 2024 - 07 March 2025,2024-12-13,2025-03-07,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14427-Public-procurement-directives-evaluation/feedback_en?p_id=18932
Cross-border family situations - recognition of parenthoodTopicJustice and fundamental rightsType of actProposal for a regulationFeedback period19 May 2021 - 25 August 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12878-Cross-border-family-situations-recognition-of-parenthood_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12878-Cross-border-family-situations-recognition-of-parenthood/feedback,760,Justice and fundamental rights,Proposal for a regulation,19 May 2021 - 25 August 2021,2021-05-19,2021-08-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12878-Cross-border-family-situations-recognition-of-parenthood/feedback_en?p_id=14440
Renewable energy projects – permit-granting processes & power-purchase agreementsTopicEnergyType of actProposal for a directiveFeedback period18 January 2022 - 12 April 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13334-Renewable-energy-projects-permit-granting-processes-power-purchase-agreements_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13334-Renewable-energy-projects-permit-granting-processes-power-purchase-agreements/feedback,728,Energy,Proposal for a directive,18 January 2022 - 12 April 2022,2022-01-18,2022-04-12,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13334-Renewable-energy-projects-permit-granting-processes-power-purchase-agreements/feedback_en?p_id=15522
EU rules on medical devices and in vitro diagnostics – targeted evaluationTopicPublic healthType of actEvaluationFeedback period12 December 2024 - 21 March 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14155-EU-rules-on-medical-devices-and-in-vitro-diagnostics-targeted-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14155-EU-rules-on-medical-devices-and-in-vitro-diagnostics-targeted-evaluation/feedback,584,Public health,Evaluation,12 December 2024 - 21 March 2025,2024-12-12,2025-03-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14155-EU-rules-on-medical-devices-and-in-vitro-diagnostics-targeted-evaluation/feedback_en?p_id=18928
EU climate target for 2040TopicClimate actionType of actCommunicationFeedback period31 March 2023 - 23 June 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13793-EU-climate-target-for-2040_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13793-EU-climate-target-for-2040/feedback,579,Climate action,Communication,31 March 2023 - 23 June 2023,2023-03-31,2023-06-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13793-EU-climate-target-for-2040/feedback_en?p_id=16866
Energy efficiency – ecodesign requirements for solid-fuel local space heaters (review)TopicEnergyType of actRegulationFeedback period21 September 2023 - 14 December 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13687-Energy-efficiency-ecodesign-requirements-for-solid-fuel-local-space-heaters-review-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13687-Energy-efficiency-ecodesign-requirements-for-solid-fuel-local-space-heaters-review-/feedback,529,Energy,Regulation,21 September 2023 - 14 December 2023,2023-09-21,2023-12-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13687-Energy-efficiency-ecodesign-requirements-for-solid-fuel-local-space-heaters-review-/feedback_en?p_id=17432
Facilitating healthier food choices – establishing nutrient profilesTopicFood safetyType of actRegulationFeedback period13 December 2021 - 07 March 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12748-Facilitating-healthier-food-choices-establishing-nutrient-profiles_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12748-Facilitating-healthier-food-choices-establishing-nutrient-profiles/feedback,472,Food safety,Regulation,13 December 2021 - 07 March 2022,2021-12-13,2022-03-07,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12748-Facilitating-healthier-food-choices-establishing-nutrient-profiles/feedback_en?p_id=14009
Food labelling - revision of rules on information provided to consumersTopicFood safetyType of actProposal for a regulationFeedback period13 December 2021 - 07 March 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12749-Food-labelling-revision-of-rules-on-information-provided-to-consumers_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12749-Food-labelling-revision-of-rules-on-information-provided-to-consumers/feedback,472,Food safety,Proposal for a regulation,13 December 2021 - 07 March 2022,2021-12-13,2022-03-07,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12749-Food-labelling-revision-of-rules-on-information-provided-to-consumers/feedback_en?p_id=14009
EU solar energy strategyTopicEnergyType of actCommunicationFeedback period18 January 2022 - 12 April 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13338-EU-solar-energy-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13338-EU-solar-energy-strategy/feedback,447,Energy,Communication,18 January 2022 - 12 April 2022,2022-01-18,2022-04-12,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13338-EU-solar-energy-strategy/feedback_en?p_id=15525
"Towards a circular, regenerative and competitive bioeconomyTopicEnvironmentType of actCommunicationFeedback period31 March 2025 - 23 June 2025",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14555-Towards-a-circular-regenerative-and-competitive-bioeconomy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14555-Towards-a-circular-regenerative-and-competitive-bioeconomy/feedback,444,Environment,Communication,31 March 2025 - 23 June 2025,2025-03-31,2025-06-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14555-Towards-a-circular-regenerative-and-competitive-bioeconomy/feedback_en?p_id=19400
Learning opportunities (learning mobility) abroad in Europe for everyoneTopicEducation and trainingType of actProposal for a recommendationFeedback period08 February 2023 - 03 May 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13563-Learning-opportunities-learning-mobility-abroad-in-Europe-for-everyone_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13563-Learning-opportunities-learning-mobility-abroad-in-Europe-for-everyone/feedback,408,Education and training,Proposal for a recommendation,08 February 2023 - 03 May 2023,2023-02-08,2023-05-03,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13563-Learning-opportunities-learning-mobility-abroad-in-Europe-for-everyone/feedback_en?p_id=16720
Europe’s Beating Cancer PlanTopicPublic healthType of actCommunicationFeedback period04 February 2020 - 21 May 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12154-Europes-Beating-Cancer-Plan_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12154-Europes-Beating-Cancer-Plan/feedback,384,Public health,Communication,04 February 2020 - 21 May 2020,2020-02-04,2020-05-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12154-Europes-Beating-Cancer-Plan/feedback_en?p_id=12436
EU renewable energy rules – reviewTopicEnergyType of actProposal for a directiveFeedback period17 November 2020 - 09 February 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12553-EU-renewable-energy-rules-review_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12553-EU-renewable-energy-rules-review/feedback,374,Energy,Proposal for a directive,17 November 2020 - 09 February 2021,2020-11-17,2021-02-09,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12553-EU-renewable-energy-rules-review/feedback_en?p_id=13401
Strengthened cooperation against vaccine preventable diseasesTopicPublic healthType of actProposal for a recommendationFeedback period21 December 2017 - 15 March 2018,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1225-Strengthened-cooperation-against-vaccine-preventable-diseases_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1225-Strengthened-cooperation-against-vaccine-preventable-diseases/feedback,368,Public health,Proposal for a recommendation,21 December 2017 - 15 March 2018,2017-12-21,2018-03-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1225-Strengthened-cooperation-against-vaccine-preventable-diseases/feedback_en?p_id=10584
Pesticides – sustainable use (updated EU rules)TopicFood safetyType of actProposal for a regulationFeedback period18 January 2021 - 12 April 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12413-Pesticides-sustainable-use-updated-EU-rules-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12413-Pesticides-sustainable-use-updated-EU-rules-/feedback,360,Food safety,Proposal for a regulation,18 January 2021 - 12 April 2021,2021-01-18,2021-04-12,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12413-Pesticides-sustainable-use-updated-EU-rules-/feedback_en?p_id=13120
Travel – digitalising travel documents to make travelling easierTopicHome affairsType of actProposal for a regulationFeedback period05 April 2023 - 28 June 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13514-Travel-digitalising-travel-documents-to-make-travelling-easier_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13514-Travel-digitalising-travel-documents-to-make-travelling-easier/feedback,360,Home affairs,Proposal for a regulation,05 April 2023 - 28 June 2023,2023-04-05,2023-06-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13514-Travel-digitalising-travel-documents-to-make-travelling-easier/feedback_en?p_id=16235
"Gender Equality Strategy 2026-2030TopicConsumers, Employment and social affairs, Justice and fundamental rightsType of actCommunicationFeedback period19 May 2025 - 11 August 2025",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14611-Gender-Equality-Strategy-2026-2030_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14611-Gender-Equality-Strategy-2026-2030/feedback,347,"Consumers, Employment and social affairs, Justice and fundamental rights",Communication,19 May 2025 - 11 August 2025,2025-05-19,2025-08-11,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14611-Gender-Equality-Strategy-2026-2030/feedback_en?p_id=19674
Chemicals legislation – revision of REACH Regulation to help achieve a toxic-free environmentTopicEnvironmentType of actProposal for a regulationFeedback period20 January 2022 - 15 April 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12959-Chemicals-legislation-revision-of-REACH-Regulation-to-help-achieve-a-toxic-free-environment_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12959-Chemicals-legislation-revision-of-REACH-Regulation-to-help-achieve-a-toxic-free-environment/feedback,325,Environment,Proposal for a regulation,20 January 2022 - 15 April 2022,2022-01-20,2022-04-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12959-Chemicals-legislation-revision-of-REACH-Regulation-to-help-achieve-a-toxic-free-environment/feedback_en?p_id=14526
Sustainable consumption of goods – promoting repair and reuseTopicJustice and fundamental rightsType of actProposal for a directiveFeedback period11 January 2022 - 05 April 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13150-Sustainable-consumption-of-goods-promoting-repair-and-reuse_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13150-Sustainable-consumption-of-goods-promoting-repair-and-reuse/feedback,325,Justice and fundamental rights,Proposal for a directive,11 January 2022 - 05 April 2022,2022-01-11,2022-04-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13150-Sustainable-consumption-of-goods-promoting-repair-and-reuse/feedback_en?p_id=15491
VAT in the digital ageTopicTaxationType of actProposal for a directiveFeedback period20 January 2022 - 05 May 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13186-VAT-in-the-digital-age_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13186-VAT-in-the-digital-age/feedback,322,Taxation,Proposal for a directive,20 January 2022 - 05 May 2022,2022-01-20,2022-05-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13186-VAT-in-the-digital-age/feedback_en?p_id=15535
"Forests - new EU strategyTopicAgriculture and rural development, Climate action, EnvironmentType of actCommunicationFeedback period25 January 2021 - 19 April 2021",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12674-Forests-new-EU-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12674-Forests-new-EU-strategy/feedback,312,"Agriculture and rural development, Climate action, Environment",Communication,25 January 2021 - 19 April 2021,2021-01-25,2021-04-19,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12674-Forests-new-EU-strategy/feedback_en?p_id=13735
Collective bargaining agreements for self-employed – scope of application EU competition rulesTopicCompetitionType of actCommunicationFeedback period05 March 2021 - 31 May 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12483-Collective-bargaining-agreements-for-self-employed-scope-of-application-EU-competition-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12483-Collective-bargaining-agreements-for-self-employed-scope-of-application-EU-competition-rules/feedback,310,Competition,Communication,05 March 2021 - 31 May 2021,2021-03-05,2021-05-31,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12483-Collective-bargaining-agreements-for-self-employed-scope-of-application-EU-competition-rules/feedback_en?p_id=14020
European Critical Raw Materials ActTopicSingle marketType of actProposal for a regulationFeedback period30 September 2022 - 25 November 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13597-European-Critical-Raw-Materials-Act_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13597-European-Critical-Raw-Materials-Act/feedback,310,Single market,Proposal for a regulation,30 September 2022 - 25 November 2022,2022-09-30,2022-11-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13597-European-Critical-Raw-Materials-Act/feedback_en?p_id=16313
Revision of EU rules on food contact materialsTopicFood safetyType of actProposal for a regulationFeedback period05 October 2022 - 11 January 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12497-Revision-of-EU-rules-on-food-contact-materials_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12497-Revision-of-EU-rules-on-food-contact-materials/feedback,302,Food safety,Proposal for a regulation,05 October 2022 - 11 January 2023,2022-10-05,2023-01-11,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12497-Revision-of-EU-rules-on-food-contact-materials/feedback_en?p_id=13982
Apply AI Strategy – strengthening the AI continentTopicDigital economy and societyType of actCommunicationFeedback period09 April 2025 - 04 June 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14625-Apply-AI-Strategy-strengthening-the-AI-continent_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14625-Apply-AI-Strategy-strengthening-the-AI-continent/feedback,287,Digital economy and society,Communication,09 April 2025 - 04 June 2025,2025-04-09,2025-06-04,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14625-Apply-AI-Strategy-strengthening-the-AI-continent/feedback_en?p_id=19463
